,Pos,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
522,F,Cutrone,5.0,5.0,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
523,M,Wissa,5.8,5.8,Brentford,38.0,1.782,26.0,0.0,20.0,1.212,19.0,1.275,22.0,1.224,21.0,0.983,20.0,1.214,26,1.559
524,F,A.Armstrong,5.7,5.7,Southampton,11.0,0.79,12.0,0.0,8.88,1.043,18.0,1.275,8.0,0.415,9.435,1.177,9.99,1.059,21,1.232
525,M,Chukwuemeka,4.5,4.5,Aston Villa,7.0,0.348,2.533333333333333,0.0,2.526666666666667,0.318,8.66,0.37,8.0,0.365,2.42,0.288,2.823333333333333,0.351,4,0.171
526,D,Chalobah,4.7,4.7,Chelsea,9.0,0.414,0.0,0.0,8.16,0.4,5.11,0.523,0.0,0.0,7.14,0.773,4.59,0.413,11,0.513
527,M,Tzolis,4.8,4.8,Norwich,11.0,0.487,12.0,0.0,7.21,0.728,8.74,0.847,1.0,0.022,10.9,0.973,10.355,1.049,20,0.876
528,F,Lukaku,11.5,11.5,Chelsea,85.0,5.119,0.0,0.0,95.62,6.210999999999999,41.27,6.358,9.0,0.6,38.25,5.396999999999999,39.78,5.102,77,5.218
529,F,Balogun,4.7,4.7,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
530,M,Nelson,5.0,5.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
531,G,Hein,4.0,4.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
532,F,Richardson,4.4,4.4,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
533,D,Thomas,3.9,3.9,Burnley,0.5,0.026,0.6666666666666666,0.0,1.11,0.022,1.22,0.0289999999999999,0.5,0.01,0.4066666666666667,0.0209999999999999,0.8133333333333335,0.066,3,0.07
